kabupaten,tahun,produksi_padi,curah_hujan,suhu,kelembaban,ipm,kemiskinan,sanitasi,air_bersih
Kabupaten Karawang,2021,1030161,2774.0,,,83.2,7.17,83.98,68.64
Kabupaten Karawang,2022,926714,2504.0,24.0,68.0,81.69,9.96,87.63,75.16
Kabupaten Karawang,2023,1015312,2486.0,23.1,84.0,83.9,9.79,73.75,83.26
Kabupaten Bekasi,2004,828664,2116.0,28.5,72.0,75.15,13.66,68.04,68.88
Kabupaten Bekasi,2005,672118,,27.8,71.0,75.28,13.26,65.8,94.4
Kabupaten Bekasi,2006,696569,1412.0,27.2,77.0,75.67,11.93,67.68,96.68
Kabupaten Bekasi,2007,713502,2273.0,28.5,68.0,75.94,11.4,84.58,70.67
Kabupaten Bekasi,2008,471340,1889.0,,86.0,76.19,12.41,71.8,69.71
Kabupaten Bekasi,2009,809404,1511.0,27.7,86.0,75.96,12.65,74.67,65.6
Kabupaten Bekasi,2010,1085994,1467.0,28.2,86.0,76.21,13.43,89.26,92.11
Kabupaten Bekasi,2011,985179,1867.0,28.0,87.0,76.8,12.52,89.92,94.12
Kabupaten Bekasi,2012,685992,1863.0,28.0,76.0,78.12,13.65,93.88,67.2
Kabupaten Bekasi,2013,516810,1658.0,27.4,88.0,77.22,11.48,79.57,75.6
Kabupaten Bekasi,2014,705248,1438.0,26.9,78.0,77.26,13.24,84.81,65.28
Kabupaten Bekasi,2015,928614,2133.0,26.6,78.0,78.91,11.94,79.19,67.19
Kabupaten Bekasi,2016,833012,2437.0,27.7,85.0,79.24,12.61,81.72,89.49
Kabupaten Bekasi,2017,678853,1720.0,27.0,82.0,80.0,12.11,80.9,86.59
Kabupaten Bekasi,2018,801833,2243.0,26.7,82.0,78.54,11.03,70.98,72.97
Kabupaten Bekasi,2019,703292,1747.0,26.5,80.0,77.5,13.77,84.37,77.63
Kabupaten Bekasi,2020,839269,2276.0,26.9,,80.08,12.72,71.36,73.89
Kabupaten Bekasi,2021,844234,2113.0,26.7,83.0,78.2,10.44,88.52,90.67
Kabupaten Bekasi,2022,698067,2107.0,27.5,76.0,78.94,12.33,61.36,87.01
Kabupaten Bekasi,2023,596567,2144.0,27.1,77.0,82.19,10.96,88.89,92.88
Kabupaten Bandung Barat,2004,482673,2222.0,23.6,82.0,66.42,14.91,64.55,65.74
Kabupaten Bandung Barat,2005,379999,3298.0,23.0,67.0,66.72,15.47,60.5,90.22
Kabupaten Bandung Barat,2006,493372,2987.0,24.0,94.0,67.0,16.04,94.67,89.97
Kabupaten Bandung Barat,2007,519261,3592.0,23.0,70.0,67.26,14.13,92.52,76.28
Kabupaten Bandung Barat,2008,320373,2728.0,,83.0,67.68,14.58,83.62,87.36
Kabupaten Bandung Barat,2009,370793,2949.0,23.2,80.0,67.96,13.44,82.7,74.08
Kabupaten Bandung Barat,2010,435979,2111.0,22.6,82.0,68.29,15.34,,65.63
Kabupaten Bandung Barat,2011,440270,2930.0,24.1,85.0,68.81,14.38,78.76,81.12
Kabupaten Bandung Barat,2012,343041,2487.0,22.3,,69.43,12.9,61.82,66.05
Kabupaten Bandung Barat,2013,479683,2224.0,23.2,86.0,69.71,14.31,67.39,93.48
Kabupaten Bandung Barat,2014,400798,2765.0,22.8,86.0,69.83,13.72,,92.96
Kabupaten Bandung Barat,2015,415673,2556.0,23.0,,70.62,15.09,73.5,67.34
Kabupaten Bandung Barat,2016,370391,2279.0,22.3,78.0,67.99,13.32,87.94,75.77
Kabupaten Bandung Barat,2017,382525,2114.0,22.9,77.0,69.11,13.21,62.19,71.95
Kabupaten Bandung Barat,2018,387668,2829.0,23.9,77.0,68.47,13.28,79.72,91.53
Kabupaten Bandung Barat,2019,401807,2778.0,22.7,71.0,70.73,14.39,77.07,67.71
Kabupaten Bandung Barat,2020,294787,2444.0,22.6,63.0,71.5,14.51,90.18,75.36
Kabupaten Bandung Barat,2021,453095,3302.0,23.4,,70.62,12.7,77.24,80.94
Kabupaten Bandung Barat,2022,384891,3203.0,23.2,87.0,70.0,13.37,66.87,96.4
Kabupaten Bandung Barat,2023,432331,2792.0,22.6,77.0,72.0,16.48,79.34,77.28
Kabupaten Pangandaran,2004,917377,1590.0,25.5,85.0,67.78,6.18,73.11,91.33
Kabupaten Pangandaran,2005,1042810,1526.0,25.7,88.0,68.12,7.19,83.55,72.28
Kabupaten Pangandaran,2006,1071285,1672.0,,73.0,67.98,7.23,86.26,70.02
Kabupaten Pangandaran,2007,1195500,1038.0,25.5,79.0,68.91,6.32,70.2,71.85
Kabupaten Pangandaran,2008,1053659,1715.0,24.5,65.0,69.09,4.77,80.89,97.99
Kabupaten Pangandaran,2009,933752,1594.0,26.7,77.0,68.32,7.22,71.91,81.85
Kabupaten Pangandaran,2010,1125733,1859.0,26.2,100.0,68.47,5.37,89.37,70.3
Kabupaten Pangandaran,2011,1270558,1766.0,25.6,76.0,69.76,7.03,66.07,77.53
Kabupaten Pangandaran,2012,941279,2230.0,25.5,82.0,70.43,7.33,92.52,77.78
Kabupaten Pangandaran,2013,1289320,1817.0,26.6,74.0,69.61,7.62,93.65,87.04
Kabupaten Pangandaran,2014,991818,1858.0,26.8,86.0,69.73,5.08,69.86,96.79
Kabupaten Pangandaran,2015,1154062,2094.0,26.7,75.0,70.34,6.45,,92.54
Kabupaten Pangandaran,2016,1106394,1714.0,26.0,71.0,69.52,5.39,68.63,80.54
Kabupaten Pangandaran,2017,556521,2212.0,26.3,83.0,72.61,6.69,86.5,66.83
Kabupaten Pangandaran,2018,865739,2405.0,26.4,78.0,72.94,6.06,69.51,71.29
Kabupaten Pangandaran,2019,841910,1593.0,25.2,88.0,69.82,5.2,78.6,74.5
Kabupaten Pangandaran,2020,719877,1757.0,25.0,93.0,70.17,7.51,72.04,89.19
Kabupaten Pangandaran,2021,1025429,1976.0,26.0,81.0,72.83,5.79,73.98,75.78
Kabupaten Pangandaran,2022,990837,1815.0,,96.0,70.22,5.63,61.14,86.74
Kabupaten Pangandaran,2023,1100585,1443.0,25.9,81.0,71.37,3.4,88.66,97.46
Kota Bogor,2004,434807,3231.0,24.2,78.0,70.21,3.06,88.82,92.08
Kota Bogor,2005,492334,1950.0,25.0,88.0,70.41,4.11,62.96,80.4
Kota Bogor,2006,505460,3394.0,24.8,70.0,70.9,3.67,70.62,95.77
Kota Bogor,2007,283445,3670.0,26.3,79.0,70.88,4.07,82.97,97.05
Kota Bogor,2008,536787,3782.0,25.1,75.0,70.75,4.33,62.69,76.7
Kota Bogor,2009,457706,1936.0,25.8,82.0,71.63,4.62,68.94,68.49
Kota Bogor,2010,358111,2210.0,25.9,89.0,70.94,3.9,88.96,66.38
Kota Bogor,2011,404154,2614.0,25.0,81.0,71.4,4.84,85.6,96.62
Kota Bogor,2012,449142,3263.0,26.0,90.0,71.98,5.24,75.0,89.14
Kota Bogor,2013,448975,3234.0,25.3,81.0,73.39,4.98,73.27,95.2
Kota Bogor,2014,468407,3113.0,26.6,61.0,72.14,3.51,69.52,65.21
Kota Bogor,2015,421045,4476.0,24.7,89.0,73.97,2.05,74.01,90.85
Kota Bogor,2016,431220,3208.0,25.9,87.0,71.85,3.22,67.79,75.14
Kota Bogor,2017,352828,1892.0,25.9,77.0,73.14,2.81,91.43,67.78
Kota Bogor,2018,372750,3284.0,24.5,82.0,72.59,4.21,90.39,95.57
Kota Bogor,2019,394068,3030.0,25.1,80.0,73.48,4.07,80.41,65.37
Kota Bogor,2020,383230,4130.0,25.2,76.0,73.72,0.83,84.83,73.96
Kota Bogor,2021,448336,3273.0,25.6,75.0,74.09,2.49,88.2,72.4
Kota Bogor,2022,467191,3061.0,24.0,75.0,76.71,4.87,61.8,81.25
Kota Bogor,2023,376937,2110.0,24.8,84.0,73.03,1.03,88.19,90.09
Kota Sukabumi,2004,257178,1855.0,24.3,77.0,70.42,7.44,91.01,94.56
Kota Sukabumi,2005,304951,1438.0,23.9,69.0,70.72,7.97,83.56,92.2
Kota Sukabumi,2006,227933,1679.0,23.9,89.0,71.02,9.13,90.31,74.55
Kota Sukabumi,2007,348120,2619.0,24.0,69.0,71.01,6.74,89.77,71.65
Kota Sukabumi,2008,280742,1951.0,,88.0,71.75,7.72,86.79,73.35
Kota Sukabumi,2009,245416,2122.0,24.6,88.0,71.81,7.1,83.89,83.99
Kota Sukabumi,2010,205277,,23.9,85.0,72.26,9.38,67.65,66.98
Kota Sukabumi,2011,301639,1900.0,23.7,74.0,72.12,8.52,71.62,80.36
Kota Sukabumi,2012,229278,2486.0,23.6,81.0,71.93,7.84,79.74,81.51
Kota Sukabumi,2013,311584,1198.0,25.0,78.0,71.7,8.15,70.27,82.34
Kota Sukabumi,2014,297871,1905.0,24.7,87.0,73.46,6.37,83.16,85.91
Kota Sukabumi,2015,243972,1712.0,24.4,73.0,73.71,8.51,72.0,69.44
Kota Sukabumi,2016,282637,2031.0,24.2,73.0,74.24,6.36,68.91,65.43
Kota Sukabumi,2017,328691,2219.0,24.4,80.0,73.72,8.77,79.21,77.54
Kota Sukabumi,2018,209175,2339.0,24.1,78.0,73.14,9.42,90.58,97.85
Kota Sukabumi,2019,171221,2257.0,24.5,71.0,73.73,6.12,,75.4
Kota Sukabumi,2020,287026,1461.0,24.5,72.0,75.34,7.24,,89.1
Kota Sukabumi,2021,287973,1373.0,24.6,94.0,76.45,7.18,64.39,96.79
Kota Sukabumi,2022,270946,1445.0,25.0,96.0,72.68,8.5,79.05,72.71
Kota Sukabumi,2023,236112,2195.0,24.6,79.0,76.25,7.3,70.77,85.25
Kota Bandung,2004,1246720,,26.3,73.0,75.95,7.71,86.83,88.17
Kota Bandung,2005,1320457,3883.0,25.2,89.0,76.19,7.49,,73.28
Kota Bandung,2006,1396221,2509.0,25.9,82.0,76.19,6.91,83.03,97.93
Kota Bandung,2007,1356456,1831.0,25.5,73.0,77.05,7.63,73.55,86.77
Kota Bandung,2008,1756154,2633.0,26.0,83.0,77.5,9.88,80.36,78.25
Kota Bandung,2009,1242030,2599.0,25.7,72.0,77.55,7.57,62.05,83.23
Kota Bandung,2010,1553969,3278.0,24.8,86.0,78.0,7.63,91.78,78.08
Kota Bandung,2011,1191446,2638.0,25.7,78.0,77.9,7.01,92.88,89.92
Kota Bandung,2012,1595869,3317.0,25.9,74.0,78.27,6.45,92.93,69.1
Kota Bandung,2013,1534252,3469.0,25.4,79.0,78.25,6.83,92.76,87.18
Kota Bandung,2014,1631701,3067.0,25.6,85.0,77.35,6.34,61.91,84.78
Kota Bandung,2015,1662148,2973.0,26.4,77.0,77.21,5.5,88.92,84.4
Kota Bandung,2016,1583496,2770.0,26.7,81.0,79.43,5.38,93.53,82.86
Kota Bandung,2017,1706246,2281.0,26.2,87.0,77.97,9.45,,90.2
Kota Bandung,2018,1038805,3202.0,25.6,81.0,79.21,7.26,73.53,66.69
Kota Bandung,2019,1240837,3298.0,24.4,63.0,81.23,7.42,77.7,67.05
Kota Bandung,2020,1377665,2661.0,26.5,81.0,80.23,7.39,61.6,96.22
Kota Bandung,2021,1472956,2815.0,26.4,68.0,79.48,5.59,83.95,96.32
Kota Bandung,2022,1284315,2488.0,25.4,80.0,77.78,5.31,77.14,78.71
Kota Bandung,2023,1710997,3188.0,26.2,73.0,80.09,8.25,63.39,70.91
Kota Cirebon,2004,1173252,2651.0,26.4,75.0,72.13,14.18,67.86,78.18
Kota Cirebon,2005,1215660,3039.0,25.7,83.0,72.33,13.61,74.7,84.09
Kota Cirebon,2006,1285071,3126.0,25.3,82.0,72.58,14.38,94.88,69.46
Kota Cirebon,2007,755214,2303.0,26.7,75.0,73.03,12.99,,76.81
Kota Cirebon,2008,1477369,3915.0,25.7,71.0,73.19,14.35,60.88,76.71
Kota Cirebon,2009,1059383,3044.0,26.6,86.0,73.48,12.69,85.73,85.13
Kota Cirebon,2010,1005244,2834.0,25.4,69.0,73.81,12.21,85.71,65.79
Kota Cirebon,2011,1200553,3220.0,25.8,79.0,73.02,12.45,79.27,78.44
Kota Cirebon,2012,1379824,2884.0,25.9,87.0,75.06,13.19,86.25,95.13
Kota Cirebon,2013,1443811,2129.0,25.9,74.0,73.69,13.22,79.43,84.4
Kota Cirebon,2014,1553903,2156.0,25.8,70.0,73.77,14.71,60.49,86.43
Kota Cirebon,2015,1134693,3465.0,26.1,96.0,75.41,11.84,92.61,97.9
Kota Cirebon,2016,1030253,3430.0,25.9,78.0,74.25,15.39,68.37,90.02
Kota Cirebon,2017,1206518,,26.4,70.0,77.23,12.56,92.71,75.01
Kota Cirebon,2018,1331774,3274.0,25.1,78.0,76.35,11.52,77.66,75.3
Kota Cirebon,2019,1269998,3938.0,25.2,74.0,75.45,14.15,66.95,90.85
Kota Cirebon,2020,1163694,3280.0,26.0,81.0,77.79,13.61,71.87,67.06
Kota Cirebon,2021,1289239,2289.0,25.7,74.0,77.95,11.02,70.59,93.34
Kota Cirebon,2022,1280236,3169.0,26.0,74.0,79.03,12.31,82.6,81.85
Kota Cirebon,2023,828827,2649.0,25.3,82.0,74.81,11.68,71.51,86.86
Kota Bekasi,2004,1208883,2672.0,28.2,88.0,69.69,13.28,89.72,77.65
Kota Bekasi,2005,1449100,3335.0,27.5,70.0,70.01,13.54,81.15,80.21
Kota Bekasi,2006,1204931,3359.0,27.4,82.0,70.4,12.46,90.77,88.94
Kota Bekasi,2007,1380736,2985.0,27.2,80.0,70.56,13.47,68.71,96.09
Kota Bekasi,2008,1310574,2668.0,27.1,77.0,70.11,13.07,72.5,76.36
Kota Bekasi,2009,1178024,,28.3,80.0,70.96,14.18,94.4,73.25
Kota Bekasi,2010,1176886,2772.0,26.8,92.0,71.05,13.15,82.71,78.83
Kota Bekasi,2011,1057236,2089.0,27.6,80.0,71.07,14.14,94.85,79.36
Kota Bekasi,2012,1101095,3511.0,26.9,77.0,70.49,12.73,65.87,68.97
Kota Bekasi,2013,1256368,3217.0,27.6,79.0,70.92,13.34,72.21,77.37
Kota Bekasi,2014,1389082,3628.0,27.7,76.0,73.1,14.46,77.81,93.43
Kota Bekasi,2015,1036610,2991.0,28.6,79.0,74.05,12.44,68.7,82.77
Kota Bekasi,2016,1189471,2772.0,26.9,76.0,73.84,11.99,68.17,67.25
Kota Bekasi,2017,1005065,3270.0,26.9,75.0,72.46,10.4,91.69,81.27
Kota Bekasi,2018,1016622,2928.0,27.1,72.0,72.44,12.79,82.22,69.09
Kota Bekasi,2019,1189508,3426.0,27.4,74.0,75.49,12.96,90.09,70.57
Kota Bekasi,2020,1408628,3166.0,,73.0,72.68,13.28,65.6,87.81
Kota Bekasi,2021,758206,2803.0,27.2,90.0,75.17,11.81,65.45,83.05
Kota Bekasi,2022,1102411,2660.0,27.4,79.0,72.97,10.76,61.51,70.91
Kota Bekasi,2023,1210626,3472.0,27.6,82.0,72.21,10.21,73.36,90.58
Kota Depok,2004,643688,3020.0,23.8,76.0,67.19,13.54,80.88,91.87
Kota Depok,2005,514151,2221.0,23.8,,67.38,13.65,81.03,87.97
Kota Depok,2006,636222,2500.0,23.9,69.0,67.87,15.3,60.89,87.77
Kota Depok,2007,455955,2553.0,23.9,,67.84,14.76,65.15,74.83
Kota Depok,2008,546179,2636.0,23.7,74.0,68.7,14.48,90.96,83.28
Kota Depok,2009,682376,1989.0,24.1,72.0,68.83,12.88,93.32,89.35
Kota Depok,2010,624671,,23.0,78.0,69.13,12.02,,79.68
Kota Depok,2011,473738,1545.0,23.9,81.0,69.49,14.15,71.96,79.31
Kota Depok,2012,514521,3307.0,24.8,84.0,69.92,12.86,74.07,87.23
Kota Depok,2013,536090,3645.0,23.8,89.0,68.59,12.18,79.1,71.73
Kota Depok,2014,629547,2289.0,23.1,79.0,71.09,13.18,76.63,94.63
Kota Depok,2015,591726,3777.0,24.1,77.0,68.7,12.69,60.03,66.3
Kota Depok,2016,625515,3010.0,23.3,81.0,71.01,13.95,,83.93
Kota Depok,2017,609156,3443.0,23.2,77.0,71.67,12.54,73.78,80.62
Kota Depok,2018,512949,3258.0,24.3,82.0,69.35,13.83,,85.97
Kota Depok,2019,478334,2435.0,23.6,79.0,71.21,12.2,83.34,79.37
Kota Depok,2020,550801,3179.0,23.6,,70.24,14.65,65.82,77.53
Kota Depok,2021,652607,2946.0,24.0,82.0,72.78,12.96,66.72,87.0
Kota Depok,2022,658505,3659.0,25.9,72.0,70.8,13.36,66.5,67.8
Kota Depok,2023,501797,3815.0,23.5,68.0,72.27,12.95,,95.45
Kota Cimahi,2004,848132,2055.0,26.7,78.0,65.55,11.14,68.28,80.96
Kota Cimahi,2005,822470,1827.0,26.6,74.0,65.8,8.62,62.17,84.03
Kota Cimahi,2006,915936,2064.0,26.4,68.0,65.77,10.44,71.63,75.41
Kota Cimahi,2007,993743,2036.0,26.2,81.0,66.72,8.52,90.28,84.83
Kota Cimahi,2008,654174,2584.0,26.2,95.0,66.53,8.0,92.36,66.86
Kota Cimahi,2009,643590,2532.0,26.7,86.0,66.43,10.73,89.82,83.45
Kota Cimahi,2010,668625,2170.0,27.5,68.0,66.29,8.71,,84.2
Kota Cimahi,2011,861317,1939.0,27.5,82.0,68.14,9.24,64.6,75.22
Kota Cimahi,2012,867612,2641.0,26.1,,68.17,9.1,61.41,75.76
Kota Cimahi,2013,623830,1649.0,26.6,77.0,68.53,8.36,79.79,65.69
Kota Cimahi,2014,771577,1938.0,26.7,80.0,66.81,8.25,89.03,69.41
Kota Cimahi,2015,867218,2227.0,26.9,83.0,67.56,8.54,,90.26
Kota Cimahi,2016,854262,2505.0,26.6,75.0,67.77,9.64,75.21,93.69
Kota Cimahi,2017,720856,1864.0,26.0,75.0,69.22,9.49,85.98,72.53
Kota Cimahi,2018,761478,2017.0,25.9,,68.44,8.48,90.95,70.01
Kota Cimahi,2019,704243,,27.3,91.0,68.9,7.54,60.26,87.83
Kota Cimahi,2020,745534,2198.0,26.8,79.0,69.17,8.22,80.37,91.33
Kota Cimahi,2021,834888,2099.0,27.3,63.0,72.18,7.03,62.91,93.48
Kota Cimahi,2022,689018,2140.0,25.4,89.0,72.09,8.85,61.91,97.07
Kota Cimahi,2023,925854,1352.0,26.8,88.0,69.19,8.59,64.52,74.83
Kota Tasikmalaya,2004,1149999,2683.0,24.1,82.0,67.49,9.11,,66.66
Kota Tasikmalaya,2005,1120325,2579.0,23.8,74.0,67.6,7.19,87.11,69.44
Kota Tasikmalaya,2006,1597233,2093.0,23.9,79.0,68.16,7.97,75.15,82.67
Kota Tasikmalaya,2007,1227760,1276.0,23.8,87.0,68.63,5.97,77.81,79.94
Kota Tasikmalaya,2008,1224236,1910.0,23.5,,68.38,7.15,62.89,70.1
Kota Tasikmalaya,2009,1070111,2684.0,22.4,74.0,68.12,6.53,93.83,96.18
Kota Tasikmalaya,2010,1322416,1534.0,24.2,83.0,68.12,8.91,85.66,97.85
Kota Tasikmalaya,2011,1095719,2601.0,23.1,63.0,68.55,7.31,89.87,81.44
Kota Tasikmalaya,2012,937757,2697.0,,82.0,69.53,5.21,87.03,70.63
Kota Tasikmalaya,2013,1421223,1679.0,23.4,90.0,69.7,6.31,80.18,76.29
Kota Tasikmalaya,2014,1076564,2784.0,24.2,69.0,69.28,7.78,75.59,96.91
Kota Tasikmalaya,2015,1570153,2968.0,24.3,81.0,71.46,5.82,85.13,77.28
Kota Tasikmalaya,2016,1164823,2009.0,24.7,77.0,69.57,6.53,93.83,79.63
Kota Tasikmalaya,2017,1129381,2585.0,22.9,72.0,71.67,8.3,61.73,77.75
Kota Tasikmalaya,2018,940384,1915.0,22.9,79.0,69.7,6.96,75.56,84.03
Kota Tasikmalaya,2019,1245550,3009.0,24.7,74.0,72.04,7.68,80.86,89.41
Kota Tasikmalaya,2020,1271175,2232.0,23.2,78.0,69.73,6.34,79.07,69.15
Kota Tasikmalaya,2021,910515,1962.0,23.7,77.0,72.78,6.01,72.83,77.9
Kota Tasikmalaya,2022,1069454,2800.0,24.0,76.0,70.73,6.69,89.57,76.87
Kota Tasikmalaya,2023,1248999,1892.0,24.8,81.0,69.45,6.22,71.53,87.88
Kota Banjar,2004,1323360,2570.0,27.7,91.0,69.41,9.25,69.61,80.66
Kota Banjar,2005,1432199,2471.0,26.0,81.0,69.7,9.6,61.79,72.68
Kota Banjar,2006,818672,2073.0,27.1,70.0,69.8,7.95,92.47,93.63
Kota Banjar,2007,1142247,1853.0,27.2,84.0,70.4,9.32,82.54,92.53
Kota Banjar,2008,1484812,2522.0,28.1,62.0,69.85,8.43,70.24,83.0
Kota Banjar,2009,1020865,2278.0,,76.0,70.07,9.15,90.7,82.43
Kota Banjar,2010,992208,2074.0,27.6,82.0,71.5,8.02,73.48,96.12
Kota Banjar,2011,1053629,2581.0,27.3,75.0,71.65,8.89,82.37,76.25
Kota Banjar,2012,1216939,2038.0,27.5,83.0,72.55,8.8,64.49,86.46
Kota Banjar,2013,1391129,1879.0,27.0,87.0,72.2,7.92,61.93,79.09
Kota Banjar,2014,1296315,2084.0,26.2,87.0,71.98,8.76,76.73,76.72
Kota Banjar,2015,1201129,2582.0,27.8,73.0,71.55,9.44,82.94,66.31
Kota Banjar,2016,1335452,2219.0,27.0,86.0,72.26,9.57,68.56,78.9
Kota Banjar,2017,1253239,2239.0,26.1,78.0,72.04,8.79,63.2,89.97
Kota Banjar,2018,939227,2249.0,26.8,76.0,71.05,7.75,88.68,75.78
Kota Banjar,2019,1057723,2569.0,26.0,,73.52,8.36,83.63,71.79
Kota Banjar,2020,1009668,1963.0,27.3,74.0,75.13,5.68,63.7,91.82
Kota Banjar,2021,1242174,2895.0,27.8,84.0,75.36,9.55,86.16,93.08
Kota Banjar,2022,1317557,1531.0,27.2,79.0,71.39,7.76,66.16,72.77
Kota Banjar,2023,1018606,2472.0,27.1,76.0,75.63,7.18,91.91,69.84
